categoria,decisao
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Importância / Menção ao Elenco,ver filme
Engajamento positivo,ver filme
Importância / Menção ao Elenco,ver filme
Engajamento negativo,não assistiria
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento negativo,não assistiria
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Importância / Menção ao Elenco,ver filme
Crítica ideológica,talvez
Engajamento negativo,não assistiria
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Crítica ideológica,talvez
Engajamento positivo,ver filme
Crítica ideológica,talvez
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Confusão / falta de clareza,talvez
Crítica ideológica,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Importância / Menção ao Elenco,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Crítica ideológica,talvez
Engajamento positivo,ver filme
Despertou curiosidade,talvez
Importância / Menção ao Elenco,ver filme
Crítica ideológica,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
menção direta ao trailer,ver filme
Menção direta ao trailer,ver filme
Crítica ideológica,talvez
Confusão / falta de clareza,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Crítica ideológica,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Sem contexto,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Crítica ideológica,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento negativo,não assistiria
Engajamento positivo,ver filme
Importância / Menção ao Elenco,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Crítica ideológica,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Despertou curiosidade,talvez
Crítica ideológica,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Crítica ideológica,talvez
Engajamento negativo,não assistiria
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Despertou curiosidade,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Despertou curiosidade,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento negativo,não assistiria
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Crítica ideológica,talvez
Engajamento positivo,ver filme
Crítica ideológica,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Despertou curiosidade,talvez
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Sem contexto,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Confusão / falta de clareza,talvez
Importância / Menção ao Elenco,ver filme
Engajamento negativo,não assistiria
Engajamento positivo,ver filme
Engajamento negativo,não assistiria
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento negativo,não assistiria
Engajamento positivo,ver filme
Importância / Menção ao Elenco,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Sem contexto,talvez
Importância / Menção ao Elenco,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento negativo,não assistiria
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Crítica ideológica,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento negativo,não assistiria
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Importância / Menção ao Elenco,ver filme
Sem contexto,talvez
Sem contexto,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Crítica ideológica,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Importância / Menção ao Elenco,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento negativo,não assistiria
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Crítica ideológica,talvez
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Engajamento negativo,não assistiria
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Despertou curiosidade,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Confusão / falta de clareza,talvez
Engajamento positivo,ver filme
Importância / Menção ao Elenco,ver filme
Menção direta ao trailer,ver filme
Importância / Menção ao Elenco,ver filme
Engajamento positivo,ver filme
Confusão / falta de clareza,talvez
Engajamento positivo,ver filme
Engajamento negativo,não assistiria
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Despertou curiosidade,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Despertou curiosidade,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Confusão / falta de clareza,talvez
Menção direta ao trailer,ver filme
Crítica ideológica,talvez
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento negativo,não assistiria
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Importância / Menção ao Elenco,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento negativo,não assistiria
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Importância / Menção ao Elenco,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento negativo,não assistiria
Crítica ideológica,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Importância / Menção ao Elenco,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Crítica ideológica,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Crítica ideológica,talvez
Crítica ideológica,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento negativo,não assistiria
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Crítica ideológica,talvez
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Menção direta ao trailer,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento positivo,ver filme
Engajamento negativo,não assistiria
Importância / Menção ao Elenco,ver filme
Engajamento positivo,ver filme
